2014,2015,2016,dates
4999,5575,,10-16
4935,5480,,10-17
4879,5438,,10-18
4824,,,10-19
4800,,,10-20
4714,,,10-21
4630,,,10-22
4546,5113,,10-23
4463,5031,,10-24
4359,4943,,10-25
4249,4863,,10-26
4154,4808,,10-27
4075,4753,,10-28
4004,4676,,10-29
3927,4576,,10-30
3843,4486,,10-31
3774,4396,,11-1
3692,4293,,11-2
3611,4234,,11-3
3517,4234,,11-4
3412,3948,,11-5
3309,3906,,11-6
3208,3864,,11-7
3121,3829,,11-8
3017,3774,,11-9
2957,3692,,11-10
3017,3638,,11-11
3072,3671,,11-12
3127,3705,,11-13
3189,3739,,11-14
3258,3767,,11-15
3309,3794,,11-16
3348,3822,,11-17
3367,3836,,11-18
3374,3857,,11-19
3393,3878,,11-20
3400,3913,,11-21
3412,3955,,11-22
3419,3990,,11-23
3425,4040,,11-24
3438,4104,,11-25
3445,4140,,11-26
3452,4125,,11-27
3458,4118,,11-28
3458,4097,,11-29
3471,4033,,11-30
3485,3990,,12-1
3432,4018,,12-2
3354,4061,,12-3
3393,4090,,12-4
3425,4133,,12-5
3458,4154,,12-6
3491,4191,,12-7
3531,4205,,12-8
3570,4234,,12-9
3604,4213,,12-10
3638,4176,,12-11
3678,4133,,12-12
3712,4090,,12-13
3753,4061,,12-14
3794,4018,,12-15
3822,3969,,12-16
3850,3920,,12-17
3843,3878,,12-18
3760,3829,,12-19
3767,3781,,12-20
3760,3739,,12-21
3733,3692,,12-22
3698,3644,,12-23
3665,3597,,12-24
3624,3550,,12-25
3597,3498,,12-26
3564,3452,,12-27
3531,3412,,12-28
3511,3412,,12-29
3491,3425,,12-30
3478,3458,,12-31
