lon,lat,thin
113.9045493,22.70357563,0.37
113.9031181,22.70335459,0.37
113.9030138,22.70333537,0.37
113.9029371,22.70329669,0.37
113.9026479,22.70327613,0.37
113.902223,22.70322202,0.37
113.9021174,22.70320489,0.37
113.9017219,22.70316929,0.37
113.9011943,22.70316794,0.37
113.9011947,22.70329862,0.37
113.9012105,22.70331801,0.37
113.9038612,22.70411712,0.37
113.9045157,22.70451815,0.37
113.9030734,22.70427638,0.37
113.9029117,22.70489053,0.37
113.9062027,22.7072448,0.37
113.9028683,22.70349812,0.37
113.9015103,22.69932217,0.37
113.9021061,22.7061867,0.37
113.9025653,22.7059446,0.37
113.9021807,22.7055716,0.37
113.9005987,22.69934187,0.38
113.9012243,22.69937737,0.38
113.9011676,22.69998302,0.38
113.8989568,22.70018684,0.38
113.9034035,22.70125836,0.38
113.9009136,22.70104967,0.38
113.9058761,22.70214614,0.38
113.9014465,22.70161863,0.38
113.9006069,22.70122194,0.38
113.9010168,22.70131884,0.38
113.901788,22.70159339,0.38
113.906005,22.70278407,0.38
113.9052657,22.70269643,0.38
113.9027722,22.70210903,0.38
113.9038988,22.70287984,0.38
113.9032363,22.70280568,0.38
113.9008554,22.70236468,0.38
113.9076835,22.70419295,0.38
113.9061058,22.70392307,0.38
113.90584,22.70388142,0.38
113.9057353,22.70385733,0.38
113.905237,22.70379825,0.38
113.9051858,22.70378176,0.38
113.9050343,22.70372846,0.38
113.9049835,22.70371115,0.38
113.9049078,22.70368482,0.38
113.9044174,22.70355194,0.38
113.9040737,22.70350033,0.38
113.9039933,22.70349042,0.38
113.9034384,22.70339138,0.38
113.9034113,22.70339124,0.38
113.9031449,22.70335826,0.38
113.9029127,22.70329,0.38
113.9027545,22.70327897,0.38
113.9027286,22.7032771,0.38
113.9011769,22.7032086,0.38
113.9064913,22.70475815,0.38
113.9039386,22.70440787,0.38
113.9016228,22.70447411,0.38
113.9019891,22.70461016,0.38
113.9020132,22.70675068,0.38
113.9039933,22.70474949,0.38
113.9032765,22.70348349,0.38
113.9048453,22.70768997,0.38
113.9026893,22.70656349,0.38
113.9027415,22.70657084,0.38
113.9022377,22.70620308,0.38
