2014,2015,2016,dates
22.68,23.14,,9-2
22.66,23.19,,9-3
22.65,23.23,,9-4
22.69,23.26,,9-5
22.68,23.27,,9-6
22.65,23.25,,9-7
22.63,23.22,,9-8
22.61,23.17,,9-9
22.6,23.15,,9-10
22.63,23.13,,9-11
22.69,23.1,,9-12
22.74,23.08,,9-13
22.82,23.06,,9-14
22.88,23.04,,9-15
23.08,23.03,,9-16
23.17,23.07,,9-17
23.27,23.11,,9-18
23.35,,,9-19
23.41,23.19,,9-20
23.47,23.44,,9-21
23.53,23.57,,9-22
23.58,23.69,,9-23
23.61,23.79,,9-24
23.63,23.88,,9-25
23.66,23.98,,9-26
23.7,24.08,,9-27
23.72,24.17,,9-28
23.76,24.25,,9-29
23.79,24.33,,9-30
23.83,24.4,,10-1
23.88,24.46,,10-2
23.94,24.53,,10-3
23.99,24.84,,10-4
24.04,24.91,,10-5
24.09,24.98,,10-6
24.14,25.01,,10-7
24.18,24.97,,10-8
24.23,24.93,,10-9
24.27,24.88,,10-10
24.29,24.85,,10-11
24.3,24.87,,10-12
24.26,24.89,,10-13
24.21,24.91,,10-14
24.13,24.87,,10-15
24.06,24.75,,10-16
23.98,24.64,,10-17
23.91,24.59,,10-18
23.84,,,10-19
23.81,,,10-20
23.7,,,10-21
23.59,,,10-22
23.48,24.2,,10-23
23.37,24.1,,10-24
23.23,23.99,,10-25
23.08,23.89,,10-26
22.95,23.82,,10-27
22.84,23.75,,10-28
22.74,23.65,,10-29
22.63,23.52,,10-30
22.51,23.4,,10-31
22.41,23.28,,11-1
22.29,23.14,,11-2
22.17,23.06,,11-3
22.03,23.06,,11-4
21.87,22.66,,11-5
21.71,22.6,,11-6
21.55,22.54,,11-7
21.41,22.49,,11-8
21.24,22.41,,11-9
21.14,22.29,,11-10
21.24,22.21,,11-11
21.33,22.26,,11-12
21.42,22.31,,11-13
21.52,22.36,,11-14
21.61,22.4,,11-15
21.71,22.44,,11-16
21.77,22.48,,11-17
21.8,22.5,,11-18
21.81,22.53,,11-19
21.84,22.56,,11-20
21.85,22.61,,11-21
21.87,22.67,,11-22
21.88,22.72,,11-23
21.89,22.79,,11-24
21.91,22.88,,11-25
21.92,22.93,,11-26
21.93,22.91,,11-27
21.94,22.9,,11-28
21.94,22.87,,11-29
21.96,22.78,,11-30
21.98,22.72,,12-1
21.9,22.76,,12-2
21.78,22.82,,12-3
21.84,22.86,,12-4
21.89,22.92,,12-5
21.94,22.95,,12-6
21.99,23,,12-7
22.05,23.02,,12-8
22.11,23.06,,12-9
22.16,23.03,,12-10
22.21,22.98,,12-11
22.27,22.92,,12-12
22.32,22.86,,12-13
22.38,22.82,,12-14
22.44,22.76,,12-15
22.48,22.69,,12-16
22.52,22.62,,12-17
22.51,22.56,,12-18
22.39,22.49,,12-19
22.4,22.42,,12-20
22.39,22.36,,12-21
22.35,22.29,,12-22
22.3,22.22,,12-23
22.25,22.15,,12-24
22.19,22.08,,12-25
22.15,22,,12-26
22.1,21.93,,12-27
22.05,21.87,,12-28
22.02,21.87,,12-29
21.99,21.89,,12-30
21.97,21.94,,12-31
